ÇàÁ¤µ¿ÄÚµå,½Ã°£´ë±¸ºÐ,ÃÑ»ýÈ°ÀÎ±¸¼öÆò±Õ,60-64¼¼,65¼¼-69¼¼,70¼¼ÀÌ»ó
11560560,»õº®,37605.23777,902.5280773,708.0918522,994.6882889
11560585,»õº®,16688.16047,580.7708528,403.6949777,554.3322646
11560605,»õº®,35124.62665,974.5610709,809.1502292,1208.43989
11560610,»õº®,19261.64115,429.3400161,388.0763773,597.611529
11560620,»õº®,24199.19908,641.9365073,393.7848287,564.7385671
11560630,»õº®,18568.57042,650.2483971,460.375956,695.0072643
11560650,»õº®,15743.17855,591.3667999,417.6858164,516.1899519
11560660,»õº®,8259.199932,329.7381528,227.2621598,318.6977696
11560670,»õº®,7350.632317,293.0284367,201.7554191,263.8104614
11560680,»õº®,23423.72175,729.7803984,542.1181587,742.6653073
11560690,»õº®,17014.71205,527.9945413,351.98903,516.9124183
11560700,»õº®,16386.12698,597.6114894,453.4179946,672.1200322
11560710,»õº®,16925.83637,672.8532037,465.3247418,565.1404599
11560720,»õº®,24366.52209,1043.142036,639.8910748,818.0638842
11590510,»õº®,36071.21715,948.6053981,735.8296046,1122.729758
11590520,»õº®,17989.80156,662.0668271,470.6639706,713.5218293
11590530,»õº®,51403.8116,1521.471674,1163.910885,1731.134203
11590540,»õº®,24311.66844,733.7527807,566.3248085,867.4411581
11590550,»õº®,22760.86777,686.941676,525.9236078,787.7441456
11590560,»õº®,29609.00938,943.5857758,732.0981742,1102.141118
11590605,»õº®,31965.31166,1012.097582,719.0419899,1051.219804
11590620,»õº®,28155.55946,921.471338,689.6885286,997.7838353
11590630,»õº®,30756.67916,1067.556883,860.2161885,1258.226628
11590640,»õº®,21900.41182,790.3092759,582.8824471,895.8672931
11590650,»õº®,15536.50511,530.5910343,394.0018633,538.8323613
11590651,»õº®,13404.98847,440.6609578,326.9418988,487.1661578
11590660,»õº®,40802.21172,1054.099927,852.765321,1259.240612
11590670,»õº®,19670.90982,644.549407,498.5446757,660.1051666
11590680,»õº®,22996.17609,660.7994623,527.9223317,802.7492557
11620525,»õº®,22400.33968,653.1094758,525.4711146,802.1635737
11620545,»õº®,12693.36224,397.9070799,301.5701564,461.713079
11620565,»õº®,29711.40372,856.3575732,681.4019604,1031.212518
11620575,»õº®,29262.32711,709.2832186,591.1096896,947.5368257
11620585,»õº®,23262.02869,395.4373598,317.2010588,513.4904722
11620595,»õº®,40918.59116,970.7321561,762.2929815,1155.254667
11620605,»õº®,30531.25645,935.0020075,735.5007827,1087.997154
11620615,»õº®,17393.26068,428.8054918,357.6254812,536.9210799
11620625,»õº®,26778.53889,692.1493878,586.978982,843.2157245
11620630,»õº®,25760.05787,806.8882795,627.6636294,941.8176953
11620645,»õº®,24012.95,604.3298266,481.3228591,707.2153228
11620655,»õº®,19500.07957,513.2625028,455.205851,712.5600906
11620665,»õº®,22692.4013,575.1479596,469.4915784,711.4352808
11620685,»õº®,24421.07688,649.9700048,535.2369665,862.2748856
11620695,»õº®,26646.78441,470.1901583,356.9858091,531.5762297
11620715,»õº®,13993.49778,462.4760049,374.56493,547.0000622
11620725,»õº®,25935.85531,761.2378354,562.7204779,786.5720149
11620735,»õº®,28952.08253,621.4076577,486.4940748,793.0728572
11620745,»õº®,25710.3282,956.3082828,778.2483908,1296.538664
11620765,»õº®,26372.90031,897.4503846,678.900185,986.4231256
11620775,»õº®,20971.64856,761.4291246,560.6211249,857.0341482
11650510,»õº®,25190.88103,647.9208023,559.0252526,825.5469932
11650520,»õº®,27497.10764,640.9978378,471.4297775,706.6332407
11650530,»õº®,44446.97438,1274.316555,946.7780201,1448.712589
11650531,»õº®,33703.9128,839.2791502,651.9457536,970.5630862
11650540,»õº®,32544.63234,824.0010594,609.9107937,869.4131165
11650550,»õº®,10995.21238,317.3832514,255.7719018,385.6104881
11650560,»õº®,34106.73638,757.2068658,580.1364555,830.9166618
11650570,»õº®,15869.56431,357.7825454,308.0701833,461.1531083
11650580,»õº®,16047.05216,450.8054222,346.129735,538.3428916
11650581,»õº®,28523.07349,863.0909759,699.390458,979.7099837
11650590,»õº®,23113.83933,664.9254466,489.6393192,780.7189291
11650600,»õº®,17563.17969,576.1979048,469.5990676,655.0868991
11650610,»õº®,20301.06174,696.7576775,570.6964449,825.3962734
11650620,»õº®,25751.84741,944.7812968,726.5226399,981.9325348
11650621,»õº®,25682.40678,744.2242535,542.3051506,894.356195
11650651,»õº®,44476.94307,1391.274253,1120.984966,1468.29575
11650652,»õº®,29247.29974,858.6451407,624.4442199,768.3835748
11650660,»õº®,23122.82598,769.9542498,564.2585318,805.8625826
11680510,»õº®,22930.49663,583.462462,460.6380316,754.3745719
11680521,»õº®,34457.33998,743.426858,642.2073548,881.3663253
11680531,»õº®,32217.1771,676.3670969,566.0456836,929.7524876
11680545,»õº®,32084.44815,867.6357379,731.5800874,1166.336492
11680565,»õº®,32310.96553,940.1413417,674.8735773,937.8399251
11680580,»õº®,18488.70138,531.2648684,388.3717616,519.4799484
11680590,»õº®,34510.4908,674.5039954,561.3234065,865.4220472
11680600,»õº®,26593.65495,465.4353385,398.6363455,565.7519838
11680610,»õº®,37864.40284,998.9696145,810.8322918,1100.526528
11680630,»õº®,27912.59413,522.385227,365.3271172,569.6260523
11680640,»õº®,64365.12208,1247.886512,883.5688512,1265.096628
11680650,»õº®,44571.25846,805.9201292,609.5323729,929.0811952
11680655,»õº®,26936.44113,827.529121,668.5740946,829.2181075
11680656,»õº®,31886.6498,789.6587088,688.4410277,962.6555404
11680660,»õº®,10500.70652,351.9467027,347.1562382,469.4608693
11680670,»õº®,21016.64805,733.7647322,607.7357645,807.4916892
