행정동코드,읍면동코드,자치행정동,자치구,행정동,거주인구수,낮생활인구비율,총노인시설수,접근성지표,이용편리지표
11380580,1112059,은평구 응암1동,은평구,응암1동,4813,0.057374506,4,7.536981399,0
11380590,1112060,은평구 응암2동,은평구,응암2동,3813,0.051963352,4,13.95257167,0
11380631,1112065,은평구 신사1동,은평구,신사1동,4828,0.064133344,9,5.560217271,2.5
11380632,1112066,은평구 신사2동,은평구,신사2동,3795,0.072780769,9,5.628666224,5
11380640,1112067,은평구 증산동,은평구,증산동,3081,0.074679206,6,17.2804845,0
11380650,1112068,은평구 수색동,은평구,수색동,2049,0.060198685,8,16.46493248,7.5
11380690,1112071,은평구 진관동,은평구,진관동,8171,0.058165753,32,49.4549436,7.5
11380530,1112072,은평구 불광2동,은평구,불광2동,5920,0.0728665,6,8.507624511,7.5
11380600,1112073,은평구 응암3동,은평구,응암3동,5548,0.071013581,4,10.17185809,10
11380625,1112074,은평구 역촌동,은평구,역촌동,8267,0.05954121,3,10.65725955,5
11410520,1113052,서대문구 천연동,서대문구,천연동,3170,0.063658834,13,11.69261547,5
11410620,1113062,서대문구 홍제1동,서대문구,홍제1동,4496,0.067241667,5,12.3109708,2.5
11410640,1113064,서대문구 홍제3동,서대문구,홍제3동,3617,0.077748382,2,8.889985184,10
11410655,1113065,서대문구 홍제2동,서대문구,홍제2동,2684,0.066376071,21,4.872054307,2.5
11410660,1113066,서대문구 홍은1동,서대문구,홍은1동,4481,0.071619272,5,9.844665933,15
11410685,1113068,서대문구 홍은2동,서대문구,홍은2동,5116,0.062003177,13,13.2786524,7.5
11410690,1113069,서대문구 남가좌1동,서대문구,남가좌1동,2095,0.05163465,1,17.07311604,2.5
11410700,1113070,서대문구 남가좌2동,서대문구,남가좌2동,4757,0.056577564,12,14.9787513,7.5
11410710,1113071,서대문구 북가좌1동,서대문구,북가좌1동,2921,0.057042075,4,14.98483228,0
11410720,1113072,서대문구 북가좌2동,서대문구,북가좌2동,6279,0.064391156,15,6.91881188,0
11410565,1113073,서대문구 충현동,서대문구,충현동,3337,0.04045399,6,19.51067723,7.5
11410555,1113074,서대문구 북아현동,서대문구,북아현동,2236,0.039015341,5,13.31643653,2.5
11410585,1113075,서대문구 신촌동,서대문구,신촌동,2106,0.036107326,4,27.09090284,5
11410615,1113076,서대문구 연희동,서대문구,연희동,6145,0.050384851,11,18.06859163,22.5
11440590,1114059,마포구 용강동,마포구,용강동,2947,0.045938058,8,8.822251267,12.5
11440600,1114060,마포구 대흥동,마포구,대흥동,2066,0.040992118,8,12.22941053,7.5
11440610,1114061,마포구 염리동,마포구,염리동,1778,0.040407635,8,5.499189126,2.5
11440630,1114063,마포구 신수동,마포구,신수동,3278,0.046497227,11,6.370684299,2.5
11440660,1114066,마포구 서교동,마포구,서교동,3355,0.031396353,5,37.70728003,40
11440680,1114068,마포구 합정동,마포구,합정동,2652,0.043415877,3,13.0158978,10
11440690,1114069,마포구 망원1동,마포구,망원1동,3352,0.052035434,5,6.681923016,22.5
11440700,1114070,마포구 망원2동,마포구,망원2동,3089,0.053807632,4,2.588666849,7.5
11440710,1114071,마포구 연남동,마포구,연남동,2469,0.038214748,5,1.932419705,5
11440720,1114072,마포구 성산1동,마포구,성산1동,2907,0.047375,5,9.513110807,2.5
11440730,1114073,마포구 성산2동,마포구,성산2동,6129,0.05727601,18,16.242642,5
11440740,1114074,마포구 상암동,마포구,상암동,3870,0.032715087,6,38.93164552,17.5
11440585,1114075,마포구 도화동,마포구,도화동,3625,0.056876328,11,13.95188635,2.5
11440655,1114076,마포구 서강동,마포구,서강동,3138,0.041649214,9,11.4863745,0
11440565,1114077,마포구 공덕동,마포구,공덕동,5792,0.049099262,15,12.69595368,2.5
11440555,1114078,마포구 아현동,마포구,아현동,3047,0.0440546,13,12.94880803,0
11470510,1115051,양천구 목1동,양천구,목1동,3158,0.041394826,17,12.31558138,15
11470520,1115052,양천구 목2동,양천구,목2동,4072,0.055361919,10,9.628890739,2.5
11470530,1115053,양천구 목3동,양천구,목3동,3260,0.060399375,5,8.715552982,15
11470540,1115054,양천구 목4동,양천구,목4동,3234,0.04991631,7,8.923582179,2.5
11470560,1115057,양천구 신월1동,양천구,신월1동,4094,0.076567081,11,5.52577196,32.5
11470570,1115058,양천구 신월2동,양천구,신월2동,3791,0.068743278,9,8.11430886,5
11470580,1115059,양천구 신월3동,양천구,신월3동,2937,0.069293653,4,6.565917945,12.5
11470590,1115060,양천구 신월4동,양천구,신월4동,3209,0.068845943,10,3.385794997,0
11470600,1115061,양천구 신월5동,양천구,신월5동,2377,0.062871442,2,4.249843769,5
11470610,1115062,양천구 신월6동,양천구,신월6동,1746,0.066917263,5,8.022122325,5
11470611,1115063,양천구 신월7동,양천구,신월7동,4311,0.072957557,7,8.160808456,10
11470620,1115064,양천구 신정1동,양천구,신정1동,2630,0.054240182,18,9.315431688,7.5
11470630,1115065,양천구 신정2동,양천구,신정2동,2518,0.052295866,12,3.880203514,0
11470640,1115066,양천구 신정3동,양천구,신정3동,7115,0.062208172,19,33.72800299,15
11470670,1115069,양천구 신정6동,양천구,신정6동,2688,0.048727856,3,11.35058948,20
11470680,1115070,양천구 신정7동,양천구,신정7동,4875,0.063051558,10,15.85118234,15
11470550,1115071,양천구 목5동,양천구,목5동,4448,0.045827787,5,12.25204933,27.5
11470650,1115072,양천구 신정4동,양천구,신정4동,5768,0.06124829,4,9.975606067,17.5
11500510,1116051,강서구 염창동,강서구,염창동,4233,0.0462902,34,8.066208909,0
11500520,1116052,강서구 등촌1동,강서구,등촌1동,2826,0.049463952,12,8.927291475,0
11500530,1116053,강서구 등촌2동,강서구,등촌2동,3093,0.058927578,7,10.78767635,2.5
11500535,1116054,강서구 등촌3동,강서구,등촌3동,6570,0.060726526,21,8.369732403,5
11500590,1116055,강서구 화곡본동,강서구,화곡본동,4749,0.066366166,7,13.7000851,7.5
11500550,1116057,강서구 화곡2동,강서구,화곡2동,2821,0.059948434,2,9.470158097,5
11500560,1116058,강서구 화곡3동,강서구,화곡3동,3960,0.07214098,5,6.627092404,2.5
11500570,1116059,강서구 화곡4동,강서구,화곡4동,3753,0.067277542,4,8.430012112,5
11500591,1116061,강서구 화곡6동,강서구,화곡6동,3828,0.065464288,6,12.79862525,17.5
11500593,1116063,강서구 화곡8동,강서구,화곡8동,4377,0.068401954,10,12.01045959,10
11500603,1116064,강서구 가양1동,강서구,가양1동,3005,0.0387177,24,19.88150688,7.5
11500604,1116065,강서구 가양2동,강서구,가양2동,3898,0.08377436,7,14.35364844,2.5
11500605,1116066,강서구 가양3동,강서구,가양3동,3603,0.062699213,8,7.273688645,5
11500611,1116067,강서구 발산1동,강서구,발산1동,4644,0.044258388,9,29.76805707,2.5
11500620,1116069,강서구 공항동,강서구,공항동,3911,0.047039565,7,26.66602649,7.5
11500630,1116070,강서구 방화1동,강서구,방화1동,6533,0.059147055,22,22.22731341,2.5
11500640,1116071,강서구 방화2동,강서구,방화2동,4713,0.06556824,9,14.73935294,10
11500641,1116072,강서구 방화3동,강서구,방화3동,5050,0.069997775,16,11.27600368,7.5
11500540,1116073,강서구 화곡1동,강서구,화곡1동,8194,0.067071183,7,15.30685352,12.5
11500615,1116074,강서구 우장산동,강서구,우장산동,5616,0.055001506,7,16.20831337,7.5
11530510,1117051,구로구 신도림동,구로구,신도림동,4628,0.053389816,20,21.22729064,0
11530520,1117052,구로구 구로1동,구로구,구로1동,2536,0.052054447,13,6.675200396,0
11530540,1117054,구로구 구로3동,구로구,구로3동,3439,0.030446633,10,12.65058195,5
11530550,1117055,구로구 구로4동,구로구,구로4동,4559,0.071391493,9,11.66036035,15
11530560,1117056,구로구 구로5동,구로구,구로5동,4709,0.054118374,14,10.91700531,10
11530720,1117061,구로구 고척1동,구로구,고척1동,4282,0.063239258,16,5.540453993,5
11530730,1117062,구로구 고척2동,구로구,고척2동,5108,0.069642139,8,4.780753091,5
11530750,1117064,구로구 개봉2동,구로구,개봉2동,6263,0.077040673,13,7.923375578,5
11530760,1117065,구로구 개봉3동,구로구,개봉3동,4204,0.074894848,5,5.773740542,0
11530770,1117067,구로구 오류1동,구로구,오류1동,3956,0.071336918,9,5.018746969,2.5
11530790,1117069,구로구 수궁동,구로구,수궁동,4321,0.062736987,9,23.6702072,5
11530595,1117070,구로구 가리봉동,구로구,가리봉동,2122,0.050120439,4,9.379579958,5
11530530,1117071,구로구 구로2동,구로구,구로2동,5851,0.06266104,10,14.17612939,7.5
11530740,1117072,구로구 개봉1동,구로구,개봉1동,6329,0.071808905,11,11.09041194,5
11530780,1117073,구로구 오류2동,구로구,오류2동,6889,0.061572723,15,25.68903609,5
11530800,1117074,구로구 항동,구로구,항동,1521,0.061763646,6,11.62880673,0
11545510,1118051,금천구 가산동,금천구,가산동,2628,0.024678362,9,23.55447832,40
11545610,1118052,금천구 독산1동,금천구,독산1동,5658,0.053249531,23,18.25875219,40
11545620,1118053,금천구 독산2동,금천구,독산2동,3400,0.07229131,3,3.732315084,7.5
11545630,1118054,금천구 독산3동,금천구,독산3동,4514,0.067672941,6,5.812607055,20
11545640,1118055,금천구 독산4동,금천구,독산4동,2876,0.068752594,10,5.257862529,5
11545670,1118057,금천구 시흥1동,금천구,시흥1동,6105,0.069639146,7,11.16430766,5
11545680,1118058,금천구 시흥2동,금천구,시흥2동,3935,0.07482472,12,6.316656845,5
11545690,1118059,금천구 시흥3동,금천구,시흥3동,2307,0.066694847,5,2.300352554,2.5
11545700,1118060,금천구 시흥4동,금천구,시흥4동,4048,0.077587755,7,7.476840632,22.5
11545710,1118061,금천구 시흥5동,금천구,시흥5동,4310,0.081086693,9,6.983749037,7.5
11560540,1119054,영등포구 여의동,영등포구,여의동,6064,0.033215549,7,30.09788069,50
11560550,1119055,영등포구 당산1동,영등포구,당산1동,3333,0.056656251,14,13.34504935,37.5
11560560,1119056,영등포구 당산2동,영등포구,당산2동,4579,0.048034123,15,17.68547193,7.5
11560610,1119061,영등포구 양평1동,영등포구,양평1동,2331,0.049308563,17,6.263484443,0
11560620,1119062,영등포구 양평2동,영등포구,양평2동,2477,0.040467214,13,12.57591652,15
11560630,1119063,영등포구 신길1동,영등포구,신길1동,3270,0.066938927,4,10.72957003,12.5
11560650,1119065,영등포구 신길3동,영등포구,신길3동,3079,0.067805843,4,7.003291481,2.5
11560660,1119066,영등포구 신길4동,영등포구,신길4동,2236,0.074911372,14,3.831606667,5
11560670,1119067,영등포구 신길5동,영등포구,신길5동,2046,0.069682192,4,4.936301391,2.5
11560680,1119068,영등포구 신길6동,영등포구,신길6동,3229,0.059561499,9,11.84053622,5
11560690,1119069,영등포구 신길7동,영등포구,신길7동,2431,0.051622246,3,10.43375815,5
11560700,1119070,영등포구 대림1동,영등포구,대림1동,3140,0.072227644,6,5.366990626,10
11560710,1119071,영등포구 대림2동,영등포구,대림2동,3110,0.067819466,5,4.173527669,10
11560720,1119072,영등포구 대림3동,영등포구,대림3동,4456,0.06319465,9,10.86609568,12.5
11560515,1119073,영등포구 영등포본동,영등포구,영등포본동,4091,0.063398344,9,5.780296083,10
11560535,1119074,영등포구 영등포동,영등포구,영등포동,3407,0.048275987,13,19.18794421,27.5
11560585,1119075,영등포구 도림동,영등포구,도림동,3302,0.064664876,8,4.565309821,2.5
11560605,1119076,영등포구 문래동,영등포구,문래동,4616,0.053294108,26,10.65812766,20
11590520,1120052,동작구 노량진2동,동작구,노량진2동,2698,0.060596726,2,7.9862887,2.5
11590530,1120053,동작구 상도1동,동작구,상도1동,6907,0.05769397,11,15.58374485,2.5
