자치구,동,전체인구,거주인구수,거주인구비율
강남구,논현2동,21891,3145,0.1437
강남구,삼성1동,13389,2098,0.1567
강남구,삼성2동,30044,3366,0.112
강남구,대치1동,24587,2384,0.097
강남구,대치4동,20358,2067,0.1015
강남구,역삼1동,36457,3619,0.0993
강남구,역삼2동,36715,3559,0.0969
강남구,도곡1동,22044,2910,0.132
강남구,도곡2동,33877,4767,0.1407
강남구,개포1동,6560,1571,0.2395
강남구,개포4동,23868,3117,0.1306
강남구,일원본동,23695,2939,0.124
강남구,일원1동,15632,3196,0.2045
강남구,일원2동,17989,3281,0.1824
강남구,수서동,15112,4489,0.297
강남구,세곡동,44157,6383,0.1446
강남구,압구정동,27064,5081,0.1877
강남구,청담동,26985,3776,0.1399
강남구,대치2동,36906,4750,0.1287
강남구,개포2동,22166,3200,0.1444
송파구,풍납1동,14139,2759,0.1951
송파구,풍납2동,25533,3749,0.1468
송파구,거여1동,12855,2324,0.1808
송파구,거여2동,19128,3451,0.1804
송파구,마천1동,19515,4125,0.2114
송파구,마천2동,19362,4018,0.2075
송파구,방이1동,16107,2152,0.1336
송파구,방이2동,26619,3434,0.129
송파구,오륜동,18350,2681,0.1461
송파구,오금동,39213,6155,0.157
송파구,송파1동,24860,3408,0.1371
송파구,송파2동,19920,2803,0.1407
송파구,석촌동,32701,4452,0.1361
송파구,삼전동,31428,3960,0.126
송파구,가락본동,27128,3671,0.1353
송파구,가락1동,27403,3178,0.116
송파구,가락2동,32971,4171,0.1265
송파구,문정1동,20642,2926,0.1417
송파구,문정2동,29388,3867,0.1316
송파구,잠실본동,28780,3670,0.1275
송파구,잠실4동,21478,2680,0.1248
송파구,잠실6동,17124,2741,0.1601
송파구,잠실7동,9762,2113,0.2165
송파구,잠실2동,35690,3445,0.0965
송파구,잠실3동,34963,5473,0.1565
송파구,장지동,29993,4179,0.1393
송파구,위례동,32063,2560,0.0798
강동구,강일동,40855,6077,0.1487
강동구,상일동,37989,4074,0.1072
강동구,명일1동,26123,3872,0.1482
강동구,명일2동,17495,2492,0.1424
강동구,고덕1동,25500,2820,0.1106
강동구,고덕2동,22657,2824,0.1246
강동구,암사2동,15406,2318,0.1505
강동구,암사3동,18178,2540,0.1397
강동구,천호1동,27405,5037,0.1838
강동구,천호3동,26897,4578,0.1702
강동구,성내1동,20309,2988,0.1471
강동구,성내2동,24668,4253,0.1724
강동구,성내3동,23626,3711,0.1571
강동구,둔촌1동,146,33,0.226
강동구,둔촌2동,25309,4059,0.1604
강동구,암사1동,35245,5913,0.1678
강동구,천호2동,34526,5922,0.1715
강동구,길동,46481,7692,0.1655
