정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
홍대입구역(가상),126.9259714072,37.558612421599996,32,서교동,126.91459072347962,37.55510931339116
합정역,126.91575876620001,37.5509343755,32,서교동,126.91459072347962,37.55510931339116
가락시장.가락시장역,127.1171697994,37.4943819152,32,가락본동,127.12177224220831,37.49558967282977
홍제역,126.94434950040001,37.5884785983,32,홍제1동,126.9449740098365,37.58772178075043
무악재역,126.9498032626,37.5831520609,32,홍제1동,126.9449740098365,37.58772178075043
독립문역.한성과학고,126.9575149707,37.574640544,32,천연동,126.95840436592846,37.56748013604264
한강대교북단.LG유플러스,126.96317310110001,37.5241009704,31,한강로동,126.96910588830355,37.52814221077219
쌍문역,127.03475214870001,37.648823559499995,31,쌍문3동,127.02793444193848,37.64896604899964
신분당선강남역,127.02834943020001,37.496026479899996,31,서초2동,127.02495850336193,37.492074599849566
아현역,126.95918,37.557309000000004,31,북아현동,126.95690573733543,37.55957245461398
종합운동장사거리,127.07969234709999,37.5120271556,31,잠실2동,127.08854061905198,37.51191663623328
수색역앞,126.89324679290002,37.5832374271,31,수색동,126.89367222426786,37.5835205268528
문정로데오거리입구,127.12033320209999,37.4904170415,31,가락본동,127.12177224220831,37.49558967282977
종로6가.동대문종합시장,127.0034688409,37.5709177804,30,종로5.6가동,127.00507129056305,37.572031975843586
도봉구민회관,127.0381546955,37.654566822,30,쌍문2동,127.03884455893696,37.65793314381363
수유3동우체국,127.0290061373,37.6412660271,30,수유3동,127.02315389441989,37.63871388508331
삼육서울병원,127.0606744947,37.5896880345,30,휘경1동,127.06579124432037,37.59296725363674
노들섬,126.9585823758,37.5173820666,30,이촌2동,126.95467589819056,37.526259866569
문래동남성아파트,126.8922522482,37.5111692244,30,문래동,126.89949467431545,37.517118466214946
석촌호수.한솔병원,127.1051979813,37.5070736014,30,석촌동,127.10366738403702,37.50356463067748
송파역,127.1127836537,37.4992201944,30,송파2동,127.11676639171556,37.50233785400787
잠실역.롯데월드,127.097975007,37.512839385,30,잠실3동,127.09438326683343,37.5133248862588
신촌오거리.현대백화점,126.9358654093,37.555350201100005,30,서교동,126.91459072347962,37.55510931339116
서울역사박물관.경희궁앞,126.97044196700001,37.5693360157,29,사직동,126.96884605608865,37.57618696588561
서울성심병원,127.05078985829999,37.5846696462,29,전농1동,127.04770565866431,37.57804108959499
노량진수산시장.CTS기독교TV,126.9388586158,37.5135438396,29,노량진2동,126.93735932013962,37.508531018191846
동작구청.노량진초등학교앞,126.9400732336,37.510372210599996,29,노량진2동,126.93735932013962,37.508531018191846
중랑공영차고지.신내역,127.1020963392,37.613708815900004,29,신내1동,127.09936528756043,37.605874780994256
호림박물관,126.9185916485,37.482460183600004,29,미성동,126.91557598230604,37.47620734560285
등촌역.강서보건소,126.8676078457,37.5494195429,29,목3동,126.86445585967762,37.54473336465985
염창역.서울도시가스,126.8750572933,37.5468629361,29,목2동,126.8717000412482,37.54613259960127
경찰청.동북아역사재단,126.9690060167,37.562993137199996,28,소공동,126.97978948415194,37.56389256147569
우이1교앞,127.0326523611,37.6452930245,28,쌍문3동,127.02793444193848,37.64896604899964
중랑교,127.0676810035,37.5917480294,28,휘경1동,127.06579124432037,37.59296725363674
신반포역.세화여중고,126.9958082515,37.5034551594,28,반포2동,126.9945035076517,37.50459388896943
구반포역.세화고등학교,126.9899929686,37.5020434082,28,반포본동,126.9860356113934,37.5004413570286
문성초등학교,126.8982791528,37.4739835838,28,독산1동,126.897043364446,37.4702351736748
말미고개,126.89739815719999,37.4646092765,28,독산1동,126.897043364446,37.4702351736748
금천구청.금천경찰서,126.8992860477,37.4576779057,28,시흥1동,126.90325068575228,37.45353926774916
성산2교,126.9126799884,37.565612502,28,성산1동,126.90788975842212,37.56338623826228
석촌역,127.10832933360001,37.503594053899995,28,석촌동,127.10366738403702,37.50356463067748
DMC첨단산업센터,126.88516320229999,37.5854117947,28,상암동,126.89468943321278,37.57832090509381
북가좌동삼거리,126.9045580186,37.575468070700005,28,북가좌1동,126.91020369483414,37.57434412377358
이수역,126.9820604091,37.4823321911,28,방배2동,126.9855736446241,37.47982624701295
시흥사거리,126.901519584,37.4525428711,28,시흥1동,126.90325068575228,37.45353926774916
양평한신아파트.선유도공원입구,126.89468400000001,37.541699,28,양평2동,126.89594587647893,37.537744724515335
북창동.남대문시장,126.9779334764,37.5610812855,27,소공동,126.97978948415194,37.56389256147569
숭례문,126.9740061243,37.5585974617,27,회현동,126.97935667015034,37.55729358571407
하계역,127.06955945959999,37.6367787075,27,하계1동,127.07258146476586,37.64054625577194
신림사거리.신림역,126.92828543,37.4841520918,27,신림동,126.9271237136849,37.48741276844844
서울남부지방법원.서울남부지방검찰청,126.8633718797,37.5221786148,27,신정1동,126.85429102177959,37.51853097589685
양강중학교,126.8506161955,37.5246184985,27,신월2동,126.84458121372907,37.524980584185506
롯데영프라자,126.9819217706,37.5630081328,26,명동,126.98581171546633,37.56004798513031
수유역.강북구청,127.0251835464,37.6375218186,26,번1동,127.0305814215717,37.63776075355172
청담역.경기고교,127.056404146,37.520832794,26,청담동,127.04931002321993,37.52511579897959
신촌오거리.2호선신촌역,126.93769099999999,37.55523,26,대흥동,126.94341748088685,37.54994771023627
세브란스병원앞,126.938925124,37.5601137816,26,신촌동,126.93927688481546,37.56515088211023
문정법조단지.건영아파트,127.1247014642,37.481620425500005,26,장지동,127.13112378845288,37.48371159802707
총신대입구역.남성시장입구앞,126.9823336799,37.4875327559,26,방배4동,126.99248289849378,37.48906042373039
김안과병원,126.90305084559999,37.5201641062,26,영등포동,126.90759003155141,37.52379249719461
진관공영차고지,126.9080320933,37.646405068,26,진관동,126.92106591288902,37.63496688251137
안국역.종로경찰서.인사동,126.9841842323,37.5758656523,25,종로1.2.3.4가동,126.99028726084354,37.574435539666744
숭덕초교,127.0147214546,37.6035333244,25,정릉1동,127.01665578077184,37.601446524312756
석계역,127.06723070700001,37.6150652627,25,석관동,127.06143701887393,37.61298239556146
장한평역,127.06609761909999,37.561130856300004,25,용답동,127.05557905276898,37.56407582442792
양재역.서초문화예술회관,127.03584725620001,37.4825218847,25,양재1동,127.02672880394384,37.47163933132787
공군호텔,126.92417634110001,37.5098395789,25,신길7동,126.9214774694711,37.50637353304094
영등포역,126.9070268993,37.5165943731,25,영등포동,126.90759003155141,37.52379249719461
온수역,126.82379455579999,37.4927779291,25,수궁동,126.83147856339022,37.49390321679422
