구명,단지명,주택유형,세대수,주소,우편번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
강서구,발산4(마곡수명산파크4단지),국민장기,919,수명로1길 16 (내발산동 마곡수명산파크4단지아파트),7643,126.8225609,37.55204782,H,발산1동,126.825127,37.55054536
강서구,발산5(마곡수명산파크5단지),국민,948,수명로2길 105 (내발산동 마곡수명산파크5단지아파트),7635,126.8275827,37.55158665,H,발산1동,126.825127,37.55054536
강서구,발산7(마곡수명산파크7단지),국민,643,수명로2가길 22 (내발산동 마곡수명산파크7단지아파트),7642,126.8219177,37.54766287,H,발산1동,126.825127,37.55054536
강서구,마곡푸르지오,재건축,341,방화대로34길 88 (방화동 마곡푸르지오),7595,126.821195,37.57038192,H,방화1동,126.8174962,37.56866546
강서구,강서센트레빌,재건축,147,방화대로41길 9 (방화동 강서센트레빌3차),7605,126.816194,37.57136417,H,방화1동,126.8174962,37.56866546
강서구,강서동부센트리빌4차,재건축,215,남부순환로 11 (공항동 강서센트레빌4차),7622,126.8080645,37.56106286,H,공항동,126.7948382,37.55591341
강서구,유니트로원룸,기타임대,75,개화동로21길 49 (방화동 유니트로),7601,126.8056472,37.57213853,H,방화2동,126.8067388,37.566713
강서구,강서한강자이,재건축,790,양천로55길 55 (가양동 강서한강자이),7528,126.8481832,37.56632848,H,가양1동,126.8349253,37.57188424
강서구,내발산동740 기숙사(희망하우징),기타임대,193,수명로1길 131 (내발산동),7630,126.8251759,37.55406131,H,발산1동,126.825127,37.55054536
강서구,마곡14단지(마곡엠밸리14),국민장기,1270,마곡중앙로 33 (마곡동 마곡엠밸리14단지),7630,126.8240802,37.5580501,H,발산1동,126.825127,37.55054536
강서구,마곡15단지(마곡엠밸리15),국민장기,1171,마곡중앙로 36 (마곡동 마곡엠밸리15단지),7811,126.8273484,37.5574409,H,발산1동,126.825127,37.55054536
강서구,마곡6단지(마곡엠밸리6),국민장기,1466,마곡서1로 100 (마곡동 마곡엠밸리6단지),7798,126.8196234,37.5657541,H,방화1동,126.8174962,37.56866546
강서구,마곡7단지(마곡엠밸리7),국민장기,1004,마곡서로 133 (마곡동 마곡엠밸리7단지),7798,126.8238387,37.5645561,H,방화1동,126.8174962,37.56866546
강서구,마곡1단지(마곡엠밸리1),국민장기,237,마곡서1로 131 (마곡동 마곡엠밸리1단지),7598,126.8184305,37.56842237,H,방화1동,126.8174962,37.56866546
강서구,마곡2단지(마곡엠밸리2),국민장기,408,마곡서1로 146 (마곡동 마곡엠밸리2단지),7598,126.821411,37.56882497,H,방화1동,126.8174962,37.56866546
강서구,마곡3단지(마곡엠밸리3),국민장기,315,마곡서1로 132 (마곡동 마곡엠밸리3단지),7598,126.8197185,37.56853219,H,방화1동,126.8174962,37.56866546
강서구,마곡4단지(마곡엠밸리4),국민장기,420,마곡서로 175 (마곡동 마곡엠밸리4단지),7595,126.8242325,37.56890813,H,가양1동,126.8349253,37.57188424
강서구,마곡5단지(마곡엠밸리5),국민장기,439,마곡서1로 111-11 (마곡동 마곡엠밸리5단지),7599,126.817289,37.56580015,H,방화1동,126.8174962,37.56866546
강서구,가양동협동조합형공동주택,기타임대,24,양천로61길 50 (가양동 이음채),7547,126.8651906,37.55863957,H,가양3동,126.8605419,37.56105848
강서구,등촌동 장기전세주택,장기전세,54,공항대로 359 (등촌동 리본타워),7590,126.8478203,37.5578473,H,등촌3동,126.8479288,37.55888773
강서구,화곡동 청년 협동조합 주택(화곡동891-25),기타임대,15,강서로5라길 26 (화곡동 청년주택협동조합그랑),7781,126.849796,37.52920762,H,화곡8동,126.8483623,37.53263319
강서구,마곡지구 8단지(마곡엠밸리8단지),국민장기,531,마곡서1로 81 (마곡동 마곡엠밸리8단지),7599,126.8191544,37.56436639,H,방화1동,126.8174962,37.56866546
강서구,마곡지구 10단지(마곡엠밸리10단지),국민장기,550,마곡중앙1로 72 (마곡동 마곡엠밸리10단지),7629,126.8199371,37.55900126,H,공항동,126.7948382,37.55591341
강서구,마곡힐스테이트,재건축,603,마곡중앙3로 74 (마곡동 마곡힐스테이트),7599,126.8184329,37.56469676,H,방화1동,126.8174962,37.56866546
강서구,마곡지구 11단지(마곡엠밸리11단지),국민장기,347,공항대로 124 (마곡동 마곡엠밸리11단지),7808,126.8208132,37.55941461,H,공항동,126.7948382,37.55591341
강서구,마곡지구 12단지(마곡엠밸리12단지),국민장기,363,공항대로 140 (마곡동 마곡엠밸리12단지),7808,126.8232489,37.55919853,H,공항동,126.7948382,37.55591341
강서구,가양동 1457-1 모듈러 행복주택,행복(공사 건설형),30,강서로 575,7523,126.8416697,37.57170967,H,가양1동,126.8349253,37.57188424
강서구,e편한세상 염창아파트,행복(재건축),499,강서구 공항대로 583(염창동 277-24),7560,126.8702426,37.54859226,H,염창동,126.8709853,37.55373624
관악구,신림동부(신림5),재개발,592,신원로 26 (신림동 신림동부아파트),8775,126.9282708,37.48115498,H,신원동,126.9273465,37.48156356
관악구,봉천인헌,주거환경,216,낙성대로15길 66 (봉천동 인헌아파트),8800,126.961769,37.46803483,H,낙성대동,126.9584052,37.47629145
관악구,봉천신봉,주거환경,277,양녕로6나길 18 (봉천동 신봉아파트),8746,126.9489277,37.48455395,H,중앙동,126.9497897,37.48418815
관악구,신림초원,주거환경,197,미성5길 40 (신림동 초원아파트),8865,126.9140357,37.47334769,H,미성동,126.915576,37.47620735
관악구,봉천동아(봉천2-2),재개발,829,관악로37길 20 (봉천동 봉천동아아파트),8726,126.9559885,37.48755544,H,성현동,126.9481353,37.48954303
관악구,봉천우성(봉천7-1),재개발,717,관악로30길 40 (봉천동 봉천우성아파트),8735,126.9615854,37.48511728,H,행운동,126.9570868,37.48061583
관악구,봉천두산(봉천8),재개발,560,양녕로 31 (봉천동 두산아파트),8751,126.9457794,37.48515235,H,은천동,126.9425029,37.48537777
관악구,관악드림타운(봉천3),재개발,1843,구암길 106 (봉천동 관악드림타운아파트),8725,126.9486646,37.49127941,H,성현동,126.9481353,37.48954303
관악구,관악벽산블루밍,재개발,799,양녕로 117 (봉천동 벽산블루밍아파트),8715,126.9427119,37.49152454,H,은천동,126.9425029,37.48537777
관악구,관악푸르지오(봉천7-2),재개발,392,청림5길 28 (봉천동 관악푸르지오2단지아파트),8734,126.9602716,37.48959558,H,청림동,126.9586363,37.49182132
관악구,신림SH-ville(신림7),재개발,150,난곡로 80 (신림동 신림SH Ville아파트),8861,126.919545,37.46253818,H,난향동,126.9187891,37.4615015
관악구,관악청광플러스원,재건축,71,은천로15길 16 (봉천동 관악청광플러스원아파트),8715,126.9443226,37.4873923,H,은천동,126.9425029,37.48537777
