,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
0,2622,망원역,Mangwon,6호선,621,망원역 6호선,서울 마포구 월드컵로 지하 77,37.5560572923314,126.910033925408,0,H,망원1동,126.90560418807725,37.55559621744154
1,2623,합정역,Hapjeong,6호선,622,합정역 6호선,서울 마포구 양화로 지하 45,37.5491226824276,126.913544566078,1,H,합정동,126.91215018641681,37.55170535552962
2,2624,상수역,Sangsu,6호선,623,상수역 6호선,서울 마포구 독막로 지하 85,37.547771666585604,126.92240985790801,0,H,서강동,126.9320305511775,37.54774687230983
3,2625,광흥창역,Gwangheungchang,6호선,624,광흥창역 6호선,서울 마포구 독막로 지하 165,37.5474860706906,126.931939240491,0,H,서강동,126.9320305511775,37.54774687230983
4,2626,대흥역,Daeheung,6호선,625,대흥역 6호선,서울 마포구 대흥로 지하 85,37.547668354472606,126.94246525170901,0,H,대흥동,126.94341748088685,37.54994771023627
5,2633,버티고개역,Beotigogae,6호선,632,버티고개역 6호선,서울 중구 다산로 지하 38,37.5479949973795,127.006885234253,0,H,다산동,127.0083022723385,37.55431820242067
6,2634,약수역,Yaksu,6호선,633,약수역 6호선,서울 중구 다산로 지하 115,37.5538914380831,127.010120543543,1,H,다산동,127.0083022723385,37.55431820242067
7,2635,청구역,Cheonggu,6호선,634,청구역 6호선,서울 중구 청구로 지하 77,37.5602939125022,127.013806006802,1,H,신당동,127.01450559046833,37.56211663517015
8,2636,신당역,Sindang,6호선,635,신당역 6호선,서울 중구 다산로 지하 260,37.566273888412105,127.016153533586,1,H,신당동,127.01450559046833,37.56211663517015
9,2727,군자역,Gunja,7호선,725,군자역 7호선,서울 광진구 천호대로 지하 550,37.5573631939521,127.079017279019,1,H,중곡1동,127.0800825285375,37.56067400014511
10,2732,강남구청역,Gangnam-gu Office,7호선,730,강남구청역 7호선,서울 강남구 학동로 지하 346,37.5171892352971,127.04130142966001,1,H,삼성2동,127.04607058643163,37.511266884811576
11,2733,학동역,Hak-dong,7호선,731,학동역 7호선,서울 강남구 학동로 지하 180,37.514206429460394,127.031463762217,0,H,논현2동,127.03735990690524,37.51739318345911
12,2535,종로3가역,Jongno 3(sam)-ga,5호선,534,종로3가역 5호선,서울 종로구 돈화문로11길 지하 26,37.5725695604894,126.99006167065001,1,H,종로1.2.3.4가동,126.99028726084354,37.574435539666744
13,2555,둔촌동역,Dunchon-dong,5호선,P549,둔촌동역 5호선,서울 강동구 양재대로 지하 1369,37.528135539246996,127.13637526264999,0,H,성내3동,127.13289932744046,37.526056837230755
14,2556,올림픽공원역,Olympic Park,5호선,P550,올림픽공원역 5호선,서울 송파구 양재대로 지하 1233,37.516087649278205,127.13060014082701,1,H,오륜동,127.13430567724342,37.515416211063034
15,2611,응암역,Eungam,6호선,610,응암역 6호선,서울 은평구 증산로 지하 477,37.5987423282207,126.915512801302,0,H,신사1동,126.9117699058142,37.59779273832438
16,2612,역촌역,Yeokchon,6호선,611,역촌역 6호선,서울 은평구 서오릉로 지하 63,37.606039053443496,126.922967946327,0,H,녹번동,126.92991998280014,37.60221616097081
17,2613,불광역,Bulgwang,6호선,612,불광역 6호선,서울 은평구 통일로 지하 723-1,37.6102072578868,126.92998576213002,1,H,대조동,126.9208251110824,37.61418996453204
