정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
구산동주민센터.구산치안센터,126.9113175591,37.6119951896,"10",구산동,126.910376186526,37.6117570303308
대림시장,126.9169843799,37.5886922911,"10",응암3동,126.915734941805,37.5922455291139
구산사거리,126.9126066525,37.6133602085,"10",구산동,126.910376186526,37.6117570303308
역촌중앙시장,126.9143071968,37.6127497925,"10",구산동,126.910376186526,37.6117570303308
새절역.숭실고입구,126.9138851714,37.591603838,"9",신사2동,126.908223526808,37.5902397256607
구산역2번출구.예일여고,126.916762211,37.6100150662,"9",역촌동,126.915123289569,37.6043976551737
새절역,126.9136048657,37.5911620802,"9",신사2동,126.908223526808,37.5902397256607
신사동고개사거리,126.9100520798,37.5956760488,"9",신사2동,126.908223526808,37.5902397256607
한솔아파트입구선정중학교후문,126.913659348,37.6158282111,"9",갈현2동,126.91584116535,37.6185689214272
신흥시장,126.9148857872,37.5954033575,"8",신사1동,126.911769905814,37.5977927383244
응암역.신사오거리,126.9155885948,37.5981102176,"8",신사1동,126.911769905814,37.5977927383244
신사초등학교,126.9129632299,37.5934489258,"8",신사2동,126.908223526808,37.5902397256607
구산동사거리,126.9121733694,37.6143081763,"8",갈현2동,126.91584116535,37.6185689214272
갈현동미미아파트,126.9150929421,37.6182063618,"8",갈현2동,126.91584116535,37.6185689214272
선일여고입구,126.915656222,37.6193647892,"8",갈현2동,126.91584116535,37.6185689214272
갈현동성당앞,126.9165277862,37.6208174272,"8",갈현1동,126.916741681501,37.6236222973065
갈현1동주민센터,126.9169870807,37.6232490394,"8",갈현1동,126.916741681501,37.6236222973065
갈현중앙시장,126.9189712056,37.6233021491,"8",갈현1동,126.916741681501,37.6236222973065
대조동주민센터,126.917821606,37.6140827146,"7",대조동,126.920825111082,37.614189964532
은평연세병원,126.9177409601,37.6146554249,"7",갈현2동,126.91584116535,37.6185689214272
연신내역,126.922317,37.617577,"7",대조동,126.920825111082,37.614189964532
신사동고개.은평지역자활센터,126.910172,37.598976,"7",신사1동,126.911769905814,37.5977927383244
응암역신사오거리,126.9149652941,37.5988292361,"7",신사1동,126.911769905814,37.5977927383244
신진과학기술고교.이마트은평점,126.9186183354,37.599571144,"7",응암1동,126.926786873557,37.6006969911228
역말사거리,126.9154610949,37.6061433571,"6",역촌동,126.915123289569,37.6043976551737
구산역1번출구,126.917473734,37.6116655944,"6",대조동,126.920825111082,37.614189964532
우남교통,126.9102154353,37.5997638904,"6",신사1동,126.911769905814,37.5977927383244
양광교회앞,126.9282577943,37.6084875564,"6",녹번동,126.9299199828,37.6022161609708
불광역.불광1동주민센터,126.9322409368,37.6091613585,"6",녹번동,126.9299199828,37.6022161609708
시계입구가게앞검문소,126.9026609817,37.6204685747,"6",창릉동,126.899288891808,37.6464829020611
806의무경찰대.우남아파트,126.9059084865,37.6185563596,"6",구산동,126.910376186526,37.6117570303308
선정중고등학교,126.9080861205,37.6158445208,"6",구산동,126.910376186526,37.6117570303308
녹번초등학교.은평세무서,126.9261168705,37.6028163406,"6",녹번동,126.9299199828,37.6022161609708
하나은행역촌동지점,126.9201832931,37.6093457235,"6",역촌동,126.915123289569,37.6043976551737
삼성타운,126.9209082861,37.6086686542,"6",대조동,126.920825111082,37.614189964532
서부경찰서후문,126.922448712,37.6024268827,"6",녹번동,126.9299199828,37.6022161609708
서울연은초등학교,126.9244864642,37.5907413913,"6",응암2동,126.923074273438,37.5946147425936
종로약국,126.9245778258,37.6204326057,"5",불광1동,126.932086867815,37.6103587706988
새장골유래비,126.9243905638,37.6205047887,"5",불광2동,126.927305319439,37.6265016239368
서서울농협본점,126.9180735613,37.5934527849,"5",응암2동,126.923074273438,37.5946147425936
응암시장,126.918085441,37.5943012058,"5",응암3동,126.915734941805,37.5922455291139
구산역1번출구.예일여고,126.918127982,37.6107957476,"5",대조동,126.920825111082,37.614189964532
