정류소명,X좌표,Y좌표,정류버스수
상왕십리역,127.0286415903,37.564608607,20
남대문시장.회현역,126.9800425,37.55949853,20
중랑역.동부시장,127.0761560918,37.5940094539,20
신도봉시장.도봉구청.방학북부역,127.0435791265,37.6699986633,20
신촌로터리,126.9371734596,37.5535134492,20
진흥아파트,127.0239350577,37.4975717898,20
국민은행,127.0281989459,37.5230957071,20
흑석동효사정앞,126.9611501098,37.5113771628,20
망우역.망우지구대,127.0955472426,37.59886935,20
여의나루역,126.9317635377,37.5274217712,20
풍납동극동.쌍용아파트,127.1180026744,37.526571792,20
궁마을,127.0972203749,37.4853724236,20
KT&G관악지점,126.9372542978,37.4843937271,20
서울대학교.치과병원.동물병원,126.9519659471,37.4693124776,20
서울여상.서울문영여중고앞,126.9531376733,37.4731596012,20
상도동중앙하이츠빌.상도전통시장,126.9516462442,37.4986197097,20
상도시장,126.948163,37.502778,20
진명여고,126.8649771773,37.5239172751,20
영등포시장,126.9064863879,37.5195558939,20
구로시장,126.8849133185,37.4877934507,20
구로4동우체국.고대구로병원정문,126.8841735449,37.4902373373,20
은행나무입구사거리,126.9059853239,37.4513380295,20
독산동정훈단지,126.9029842355,37.4644434109,20
안양천입구,126.8837441811,37.5473987394,20
영등포아리수정수센터,126.883547277,37.5477164483,20
화곡본동시장,126.8431193207,37.5434167056,20
우장초등학교,126.8477252419,37.5493975234,20
강서구청.한국건강관리협회,126.8505881946,37.5526257615,20
마곡역,126.8260564199,37.5596898034,20
우장산역,126.8364265781,37.5492408275,20
명덕고등학교.웰튼병원,126.8365617813,37.5531477528,20
선진운수종점,126.9108134708,37.6139916762,20
이화동(이화장),127.0032823109,37.5760347544,19
시청앞,126.97648724,37.5626069098,19
혜화역.마로니에공원,127.0021325403,37.5811068753,19
성북구청.성북경찰서,127.0173202731,37.5882905568,19
청량리.청과물도매시장,127.0406921658,37.5788207952,19
반포역,127.0121019483,37.5084012467,19
압구정파출소,127.0360980945,37.5288509856,19
한양아파트.압구정로데오역,127.0393076117,37.5280590987,19
무역센터,127.0622365458,37.5101919182,19
선릉역,127.0504609437,37.5050512603,19
여의도공원,126.9204036881,37.523507257,19
망우역.상봉터미널,127.0911282488,37.5978570858,19
경남아파트,127.1071026565,37.6038223574,19
세곡푸르지오,127.0936548794,37.4674634048,19
사당역,126.9818669408,37.4788812354,19
KT관악지점,126.9471058162,37.4819199513,19
석수역,126.9033205962,37.4337190645,19
오목교역.동신한방병원,126.8769542919,37.5242202693,19
남강중고등학교입구,126.9194667496,37.4722404939,19
신림청소년독서실.신림체육센터,126.9149276545,37.4804401029,19
구로구청,126.8878364355,37.4946702464,19
구파발역입구,126.9170652635,37.6360171699,19
송정역,126.8095940066,37.5613581193,19
수유(강북구청)역,127.0260369276,37.6385200449,18
우리은행종로지점,126.9827971458,37.5675222611,18
도봉한신아파트,127.0459185575,37.6840522385,18
신도봉사거리,127.0441344517,37.6732907076,18
도봉소방서.방학남부역,127.0429434347,37.6663377077,18
연희동대우아파트,126.9278684559,37.5626621822,18
강북구청,127.0261562203,37.6404762747,18
석계역2번출구,127.0670040201,37.6151943546,18
신사역.푸른저축은행,127.019844,37.514627,18
개포동역.개포시장,127.0661422186,37.4884954335,18
한국무역센터.삼성역,127.0617468997,37.5085759614,18
성대시장,126.9308924977,37.5000139638,18
서대문역사거리,126.966960795,37.5662075233,18
오류동역,126.8425738779,37.4955483173,18
광진구청,127.0833859175,37.5389761877,18
강남구청역,127.0400890298,37.5168925261,18
일원본동주민센터,127.0847588796,37.4834496065,18
동작역.국립현충원,126.976539582,37.503116618,18
박미삼거리.국립전통예술중고,126.9033196237,37.4478552601,18
구일우성아파트,126.8758450565,37.4896208637,18
신정네거리역,126.8535119569,37.5210533141,18
대림역,126.8936600014,37.4908363519,18
한국폴리텍1.서울강서대학교,126.8451914931,37.54611711,18
강서면허시험장.메이필드호텔,126.8205151108,37.5475883349,18
수궁동주민센터,126.8308719283,37.4942884767,18
연신내역.연서시장,126.9208564337,37.6192824445,18
성원아파트,127.065537204,37.6603242236,18
명륜3가.성대입구,126.9982901625,37.5827088189,17
서울시동부병원,127.0304990897,37.5758985009,17
떡전교사거리.동대문노인복지관,127.0520846119,37.5865107343,17
청량리미주아파트.동대문세무서,127.0484429381,37.5827855855,17
성동구청,127.0360569257,37.5631942891,17
서강대학교,126.9379403761,37.5510487628,17
유진상가,126.9428934405,37.5919094018,17
천호역,127.1261276783,37.5376367674,17
신사역,127.0206424089,37.5129301089,17
삼성역7번출구,127.0625198394,37.5103382684,17
