정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
이촌동한강맨션.이촌역,126.9729005287,37.5201520027,"4",이촌1동,126.973316804703,37.5213965319123
이촌동점보아파트,126.9783905191,37.5184071679,"4",이촌1동,126.973316804703,37.5213965319123
금강병원.반도아파트,126.9811387863,37.5178158456,"4",이촌1동,126.973316804703,37.5213965319123
이촌동현대아파트,126.9807832264,37.5179305266,"4",이촌1동,126.973316804703,37.5213965319123
이촌동강촌아파트,126.9775800661,37.5187582786,"4",이촌1동,126.973316804703,37.5213965319123
가야메디컬센터,126.9898910752,37.4933982055,"4",방배본동,126.988886408987,37.4942175065151
방배사이길,126.9902861302,37.4930519693,"4",방배본동,126.988886408987,37.4942175065151
뉴코아아울렛,127.0078725487,37.509247612,"4",반포3동,127.003546906127,37.5087854393324
서빙고동주민센터,126.9948181453,37.5202668261,"4",서빙고동,126.994638088433,37.5204623812845
서빙고동,126.993923,37.520002,"4",서빙고동,126.994638088433,37.5204623812845
동작대교전망카페,126.980569985,37.5057711155,"4",반포본동,126.986035611393,37.5004413570286
국립중앙박물관용산가족공원,126.9797767171,37.520780854,"4",서빙고동,126.994638088433,37.5204623812845
필리핀대사관,126.9958472773,37.4940361985,"4",방배4동,126.992482898494,37.4890604237304
서래마을입구,126.998409052,37.4991730255,"4",반포4동,127.000307593417,37.4974760693012
서빙고초등학교,126.9906243951,37.5208411716,"3",서빙고동,126.994638088433,37.5204623812845
방배동삼호아파트,126.9882455005,37.4963131174,"3",방배본동,126.988886408987,37.4942175065151
신반포자이아파트,127.0079276611,37.5094509881,"3",반포3동,127.003546906127,37.5087854393324
잠원성당,127.0069295563,37.5134935368,"3",잠원동,127.014102820234,37.514918688029
잠원성당.아크로리버뷰아파트,127.0069218342,37.5136817278,"3",잠원동,127.014102820234,37.514918688029
반포한강공원.세빛섬,126.9975824772,37.512102979,"3",반포2동,126.994503507652,37.5045938889694
동작대교(가상),126.9797314131,37.5049501051,"3",사당2동,126.979253427857,37.4887524986383
뉴코아백화점,127.0080150374,37.5092886378,"3",반포3동,127.003546906127,37.5087854393324
서초구민체육센터,126.9903054743,37.4983151828,"3",반포2동,126.994503507652,37.5045938889694
동부센트레빌2,126.9880596891,37.4980973518,"3",방배본동,126.988886408987,37.4942175065151
방배신삼호아파트,126.9916891406,37.4978558494,"3",반포4동,127.000307593417,37.4974760693012
이수화학,126.993378961,37.4979482085,"3",반포4동,127.000307593417,37.4974760693012
한국회관.ROTC중앙회,126.995502854,37.4985638285,"3",반포4동,127.000307593417,37.4974760693012
